id,question,label,subtopic,language,source,group_id,review_status
calc_0001,"Compute lim_{x→0} sin(5x)/(2x).",CALCULUS,limits,en,synthetic,limit_sine_scaling_01,pending
calc_0002,"Determine lim_{x→∞} (1 + 3/x)^(2x).",CALCULUS,limits,en,synthetic,limit_exponential_form_01,pending
calc_0003,"The function f is defined by f(x) = (x^2 - 1)/(x - 1) for x ≠ 1 and f(1) = k. For which value of the constant k is f continuous at x = 1?",CALCULUS,continuity,en,synthetic,continuity_removable_01,pending
calc_0004,"Find dy/dx at the point (1, 2) on the curve x^2 + xy + y^2 = 7.",CALCULUS,derivatives,en,synthetic,derivative_implicit_01,pending
calc_0005,"A 5-meter ladder leans against a vertical wall. The bottom of the ladder slides away from the wall at a constant speed of 0.4 meters per second. How fast is the top of the ladder moving down the wall at the moment when the bottom is 3 meters from the wall?",CALCULUS,derivative_applications,en,synthetic,related_rates_ladder_01,pending
calc_0006,"Find the indefinite integral ∫ x^2 cos(x) dx.",CALCULUS,integrals,en,synthetic,integral_by_parts_01,pending
calc_0007,"A particle moves along a straight line with velocity v(t) = t^2 - 4t + 3 meters per second. What is the total distance traveled by the particle during the time interval 0 ≤ t ≤ 4 seconds?",CALCULUS,integral_applications,en,synthetic,integral_total_distance_01,pending
calc_0008,"Does the sequence a_n = (3n^2 + 1)/(n^2 + 5n), n ≥ 1, converge? If it does, find its limit.",CALCULUS,sequences,en,synthetic,sequence_rational_limit_01,pending
calc_0009,"Determine whether the series Σ_{n=1}^∞ n/(n^3 + 1) converges or diverges.",CALCULUS,series,en,synthetic,series_comparison_01,pending
calc_0010,"Find all critical points of f(x, y) = x^3 - 3x + y^2 and classify each one as a local maximum, a local minimum, or a saddle point.",CALCULUS,multivariable_calculus,en,synthetic,multivariable_critical_points_01,pending
calc_0011,"Evaluate lim_{x→2} (x^3 - 8)/(x^2 - 4).",CALCULUS,limits,en,synthetic,limit_factor_cubic_01,pending
calc_0012,"What is lim_{x→0} (1 - cos(3x))/x^2?",CALCULUS,limits,en,synthetic,limit_cosine_quadratic_01,pending
calc_0013,"Find lim_{x→∞} (sqrt(x^2 + 4x) - x).",CALCULUS,limits,en,synthetic,limit_conjugate_infinity_01,pending
calc_0014,"Use L'Hôpital's rule to compute lim_{x→0+} x ln(x).",CALCULUS,limits,en,synthetic,limit_lhopital_xlnx_01,pending
calc_0015,"Does lim_{x→0} sin(1/x) exist? Justify your answer.",CALCULUS,limits,en,synthetic,limit_oscillation_01,pending
calc_0016,"Compute lim_{x→0} (e^(2x) - 1 - 2x)/x^2.",CALCULUS,limits,en,synthetic,limit_taylor_exponential_01,pending
calc_0017,"Prove, using the ε–δ definition of a limit, that lim_{x→3} (2x + 1) = 7.",CALCULUS,limits,en,synthetic,limit_epsilon_delta_01,pending
calc_0018,"Let f(x) = x^2 for x < 1 and f(x) = ax + b for x ≥ 1, where a and b are real constants. Find all pairs (a, b) for which f is differentiable at x = 1.",CALCULUS,continuity,en,synthetic,continuity_piecewise_differentiable_01,pending
calc_0019,"Show that the equation x^3 + x - 1 = 0 has at least one real solution in the interval (0, 1).",CALCULUS,continuity,en,synthetic,continuity_ivt_root_01,pending
calc_0020,"Find all points where g(x) = (x^2 - 4)/(x^2 - 3x + 2) is discontinuous, and classify each discontinuity as removable or non-removable.",CALCULUS,continuity,en,synthetic,continuity_classify_discontinuities_01,pending
calc_0021,"Differentiate f(x) = x^3 e^(2x).",CALCULUS,derivatives,en,synthetic,derivative_product_exponential_01,pending
calc_0022,"Find f'(x) for f(x) = ln((x^2 + 1)/(x - 3)), where x > 3.",CALCULUS,derivatives,en,synthetic,derivative_log_quotient_01,pending
calc_0023,"Find the derivative of h(x) = x^x for x > 0.",CALCULUS,derivatives,en,synthetic,derivative_logarithmic_01,pending
calc_0024,"Find the equation of the tangent line to the graph of y = sqrt(3x + 1) at the point where x = 8.",CALCULUS,derivatives,en,synthetic,derivative_tangent_line_01,pending
calc_0025,"If y = e^(-x) sin(x), show that y'' + 2y' + 2y = 0.",CALCULUS,derivatives,en,synthetic,derivative_verify_equation_01,pending
calc_0026,"Using the limit definition of the derivative, find f'(x) for f(x) = 1/x, where x ≠ 0.",CALCULUS,derivatives,en,synthetic,derivative_definition_reciprocal_01,pending
calc_0027,"Find the absolute maximum and absolute minimum values of f(x) = x^3 - 3x^2 + 1 on the closed interval [-1, 4].",CALCULUS,derivative_applications,en,synthetic,extrema_closed_interval_01,pending
calc_0028,"An open-top rectangular box with a square base must have a volume of 32 cubic meters. What dimensions minimize the total surface area of the box (the base and the four sides)?",CALCULUS,derivative_applications,en,synthetic,optimization_open_box_01,pending
calc_0029,"Sand is poured onto a flat surface at a constant rate of 10 cubic meters per minute, forming a conical pile whose height is always equal to its base diameter. How fast is the height of the pile increasing at the moment when the pile is 4 meters high?",CALCULUS,derivative_applications,en,synthetic,related_rates_cone_pile_01,pending
calc_0030,"Show that f(x) = x^5 + 2x + 3 is strictly increasing on the real line, and determine how many real solutions the equation f(x) = 0 has.",CALCULUS,derivative_applications,en,synthetic,monotonic_unique_root_01,pending
calc_0031,"Determine where f(x) = x e^(-x) is concave up and where it is concave down, and find any inflection points.",CALCULUS,derivative_applications,en,synthetic,concavity_inflection_01,pending
calc_0032,"Apply Newton's method to f(x) = x^2 - 2 with starting value x_0 = 1, and compute the next two approximations x_1 and x_2.",CALCULUS,derivative_applications,en,synthetic,newton_method_sqrt2_01,pending
calc_0033,"Use the Mean Value Theorem to prove that |sin(a) - sin(b)| ≤ |a - b| for all real numbers a and b.",CALCULUS,derivative_applications,en,synthetic,mvt_sine_lipschitz_01,pending
calc_0034,"Evaluate the definite integral ∫_0^1 x e^(x^2) dx.",CALCULUS,integrals,en,synthetic,integral_substitution_exponential_01,pending
calc_0035,"Find ∫ 1/(x^2 - 1) dx for x > 1.",CALCULUS,integrals,en,synthetic,integral_partial_fractions_01,pending
calc_0036,"Compute ∫_0^{π/2} sin^3(x) dx.",CALCULUS,integrals,en,synthetic,integral_trig_power_01,pending
calc_0037,"Evaluate ∫_0^2 sqrt(4 - x^2) dx.",CALCULUS,integrals,en,synthetic,integral_quarter_circle_01,pending
calc_0038,"Determine whether ∫_0^∞ x e^(-x) dx converges, and find its value if it does.",CALCULUS,integrals,en,synthetic,improper_integral_gamma_01,pending
calc_0039,"Evaluate ∫_{-2}^{3} |x - 1| dx.",CALCULUS,integrals,en,synthetic,integral_absolute_value_01,pending
calc_0040,"A factory's marginal cost when q units are produced is C'(q) = 6q^2 - 4q + 5 dollars per unit, and the fixed cost (the cost of producing 0 units) is 50 dollars. Find the cost function C(q) and the total cost of producing 3 units.",CALCULUS,integrals,en,synthetic,antiderivative_marginal_cost_01,pending
calc_0041,"Find the area of the region enclosed by the curves y = x^2 and y = 2x.",CALCULUS,integral_applications,en,synthetic,area_between_curves_01,pending
calc_0042,"The region under the curve y = e^x, above the x-axis, and between x = 0 and x = 1 is rotated about the x-axis. Find the volume of the resulting solid.",CALCULUS,integral_applications,en,synthetic,volume_disk_exponential_01,pending
calc_0043,"Find the length of the curve y = (2/3) x^(3/2) from x = 0 to x = 3.",CALCULUS,integral_applications,en,synthetic,arc_length_power_01,pending
calc_0044,"Water leaks from a tank at the rate r(t) = 20e^(-0.1t) liters per minute, where t is the time in minutes since the leak began. How much water leaks out during the first 10 minutes, and how much would leak out in total if the leak continued forever?",CALCULUS,integral_applications,en,synthetic,total_change_leak_01,pending
calc_0045,"A variable force F(x) = 3x^2 + 2 newtons acts on an object as it moves along a straight line from x = 1 meter to x = 4 meters. Compute the work done by the force.",CALCULUS,integral_applications,en,synthetic,work_variable_force_01,pending
calc_0046,"The temperature in a greenhouse t hours after midnight is T(t) = 18 + 6 sin(πt/12) degrees Celsius. What is the average temperature over the full day 0 ≤ t ≤ 24?",CALCULUS,integral_applications,en,synthetic,average_value_temperature_01,pending
calc_0047,"Determine lim_{n→∞} n!/n^n and justify your answer.",CALCULUS,sequences,en,synthetic,sequence_factorial_squeeze_01,pending
calc_0048,"The sequence (a_n) is defined by a_1 = 1 and a_{n+1} = sqrt(2 + a_n) for n ≥ 1. Prove that the sequence converges and find its limit.",CALCULUS,sequences,en,synthetic,sequence_monotone_bounded_01,pending
calc_0049,"Is the sequence a_n = (-1)^n n/(n + 1) convergent? Justify your answer.",CALCULUS,sequences,en,synthetic,sequence_alternating_divergence_01,pending
calc_0050,"Evaluate lim_{n→∞} (1/n) Σ_{k=1}^{n} sqrt(k/n).",CALCULUS,sequences,en,synthetic,sequence_riemann_sum_limit_01,pending
calc_0051,"Find the sum of the series Σ_{n=1}^∞ 1/(n(n + 1)).",CALCULUS,series,en,synthetic,series_telescoping_01,pending
calc_0052,"Does the series Σ_{n=2}^∞ 1/(n ln(n)) have a finite sum?",CALCULUS,series,en,synthetic,series_integral_test_01,pending
calc_0053,"Find the radius of convergence and the interval of convergence of the power series Σ_{n=1}^∞ (x - 2)^n/(n 3^n).",CALCULUS,series,en,synthetic,power_series_interval_01,pending
calc_0054,"Does the series Σ_{n=1}^∞ (-1)^n/sqrt(n) converge absolutely, converge conditionally, or diverge?",CALCULUS,series,en,synthetic,series_conditional_convergence_01,pending
calc_0055,"Find the Maclaurin series of f(x) = ln(1 + x) up to and including the term in x^4.",CALCULUS,series,en,synthetic,taylor_polynomial_log_01,pending
calc_0056,"Find the partial derivatives f_x and f_y of f(x, y) = x^2 y + sin(xy).",CALCULUS,multivariable_calculus,en,synthetic,partial_derivatives_01,pending
calc_0057,"Evaluate ∫∫_R (x + 2y) dA, where R is the rectangle 0 ≤ x ≤ 2, 1 ≤ y ≤ 3.",CALCULUS,multivariable_calculus,en,synthetic,double_integral_rectangle_01,pending
calc_0058,"Find the maximum value of f(x, y) = xy subject to the constraint x^2 + y^2 = 8.",CALCULUS,multivariable_calculus,en,synthetic,lagrange_multipliers_01,pending
calc_0059,"Find the gradient of f(x, y, z) = x^2 y + z e^y at the point (1, 0, 2), and compute the directional derivative of f at that point in the direction of the vector (1, 2, 2).",CALCULUS,multivariable_calculus,en,synthetic,directional_derivative_01,pending
calc_0060,"Evaluate ∫_0^1 ∫_x^1 e^(y^2) dy dx by reversing the order of integration.",CALCULUS,multivariable_calculus,en,synthetic,iterated_integral_reverse_order_01,pending
calc_0061,"The expression (x^4 - 1)/(x - 1) is undefined at x = 1 but can be simplified for every other x. Use this to find its limit as x approaches 1.",CALCULUS,limits,en,synthetic,lim_quartic_factor_01,pending
calc_0062,"Compute lim_{x→0} tan(4x)/sin(6x).",CALCULUS,limits,en,synthetic,lim_tan_sin_ratio_01,pending
calc_0063,"A rational function models the ratio of a machine's output to its input as the input grows without bound: R(x) = (5x^3 - 2x)/(2x^3 + 7). What value does R(x) approach as x → ∞?",CALCULUS,limits,en,synthetic,lim_rational_infinity_01,pending
calc_0064,"Recognize the following limit as a derivative, or evaluate it by rationalizing the numerator: lim_{x→0} (sqrt(1 + x) - 1)/x.",CALCULUS,limits,en,synthetic,lim_sqrt_difference_quotient_01,pending
calc_0065,"Find lim_{x→0} (e^x - cos(x))/x.",CALCULUS,limits,en,synthetic,lim_exp_minus_cos_01,pending
calc_0066,"The expression (1 - sin(x))/cos^2(x) is undefined at x = π/2. Use a trigonometric identity to simplify it and find its limit as x approaches π/2.",CALCULUS,limits,en,synthetic,lim_trig_identity_half_pi_01,pending
calc_0067,"As x grows without bound, the factor sin(1/x) shrinks toward 0 while the factor x grows. Determine what the product x sin(1/x) approaches as x → ∞.",CALCULUS,limits,en,synthetic,lim_x_sin_reciprocal_01,pending
calc_0068,"The expression (sin(x))^x has the indeterminate form 0^0 as x → 0 from the right. Take logarithms to find lim_{x→0+} (sin(x))^x.",CALCULUS,limits,en,synthetic,lim_indeterminate_power_01,pending
calc_0069,"Compare how fast ln(x) and the cube root of x grow: find lim_{x→∞} ln(x)/x^(1/3), and state which function dominates.",CALCULUS,limits,en,synthetic,lim_log_vs_power_01,pending
calc_0070,"Find lim_{x→0} ln(1 + 2x)/x by using a standard limit or L'Hôpital's rule, and say which method you used.",CALCULUS,limits,en,synthetic,lim_log_small_argument_01,pending
calc_0071,"Find the one-sided limits lim_{x→3-} (x - 5)/(x - 3) and lim_{x→3+} (x - 5)/(x - 3).",CALCULUS,limits,en,synthetic,lim_one_sided_infinite_01,pending
calc_0072,"Find all horizontal and vertical asymptotes of f(x) = (2x^2 - 8)/(x^2 - 1).",CALCULUS,limits,en,synthetic,lim_asymptotes_rational_01,pending
calc_0073,"Use the squeeze theorem to find lim_{x→∞} cos(x)/x.",CALCULUS,limits,en,synthetic,lim_squeeze_cos_over_x_01,pending
calc_0074,"Let f(x) = |x|/x for x ≠ 0. Find lim_{x→0-} f(x) and lim_{x→0+} f(x), and decide whether lim_{x→0} f(x) exists.",CALCULUS,limits,en,synthetic,lim_sign_function_01,pending
calc_0075,"Evaluate lim_{x→∞} (x + 1)^(1/x). The base grows without bound while the exponent shrinks to zero; determine which effect wins.",CALCULUS,limits,en,synthetic,lim_power_one_over_x_01,pending
calc_0076,"Use the Taylor expansion of cos(x) about 0, rather than repeated applications of L'Hôpital's rule, to compute lim_{x→0} (cos(x) - 1 + x^2/2)/x^4.",CALCULUS,limits,en,synthetic,lim_taylor_cosine_01,pending
calc_0077,"What is lim_{x→1} ln(x)/(x - 1)?",CALCULUS,limits,en,synthetic,lim_log_derivative_form_01,pending
calc_0078,"Evaluate lim_{x→0} (1 + sin(x))^(1/x).",CALCULUS,limits,en,synthetic,lim_one_plus_sin_01,pending
calc_0079,"A capacitor's charge t seconds after it starts charging is Q(t) = 5(1 - e^(-2t)) coulombs. What value does the charge approach as t → ∞, and what is lim_{t→0+} Q(t)/t?",CALCULUS,limits,en,synthetic,lim_capacitor_charge_01,pending
calc_0080,"The concentration of a drug in the bloodstream t hours after an injection is C(t) = 20t/(t^2 + 4) mg/L. Find lim_{t→∞} C(t) and explain what it says about the long-term concentration.",CALCULUS,limits,en,synthetic,lim_drug_concentration_01,pending
calc_0081,"Using the definition of an infinite limit, prove that lim_{x→0} 1/x^2 = ∞.",CALCULUS,limits,en,synthetic,lim_infinite_limit_definition_01,pending
calc_0082,"Use the definition of a limit at infinity to prove that lim_{x→∞} 1/x = 0.",CALCULUS,limits,en,synthetic,lim_infinity_definition_01,pending
calc_0083,"A function f satisfies 1 - x^2/2 ≤ f(x) ≤ 1 for all x near 0. What is lim_{x→0} f(x)?",CALCULUS,limits,en,synthetic,lim_squeeze_given_bounds_01,pending
calc_0084,"Find the value that arcsin(x)/x approaches as x approaches 0, and interpret the result as the slope of y = arcsin(x) at the origin.",CALCULUS,limits,en,synthetic,lim_arcsin_ratio_01,pending
calc_0085,"Compute lim_{x→∞} (sqrt(x^2 + x) - sqrt(x^2 - x)).",CALCULUS,limits,en,synthetic,lim_conjugate_two_roots_01,pending
calc_0086,"The exponential functions 3^x and 2^x agree at x = 0. Find lim_{x→0} (3^x - 2^x)/x, which measures how quickly they separate near 0.",CALCULUS,limits,en,synthetic,lim_exponential_bases_01,pending
calc_0087,"For a positive integer n and a real number a, determine lim_{x→a} (x^n - a^n)/(x - a).",CALCULUS,limits,en,synthetic,lim_power_difference_quotient_01,pending
calc_0088,"Each of the terms 1/x and 1/sin(x) is unbounded as x → 0, but their difference need not be. Combine them over a common denominator and find lim_{x→0} (1/x - 1/sin(x)).",CALCULUS,limits,en,synthetic,lim_difference_of_reciprocals_01,pending
calc_0089,"Compute lim_{x→2} (sqrt(x + 2) - 2)/(x - 2).",CALCULUS,limits,en,synthetic,lim_conjugate_finite_point_01,pending
calc_0090,"A signal has the form x^2 e^(-x), where x is time in seconds. Describe its long-run behavior by evaluating lim_{x→∞} x^2 e^(-x), and explain which factor dominates.",CALCULUS,limits,en,synthetic,lim_polynomial_times_decay_01,pending
calc_0091,"A student claims that sin(x) settles down to a single value as x grows without bound. Does lim_{x→∞} sin(x) exist? Explain rigorously, using two different sequences x_n → ∞.",CALCULUS,limits,en,synthetic,lim_sine_at_infinity_01,pending
calc_0092,"Let f(x) = x^2 + c for x ≤ 2 and f(x) = 3x - 1 for x > 2. For what value of c is f continuous on the whole real line?",CALCULUS,continuity,en,synthetic,cont_piecewise_constant_01,pending
calc_0093,"State the domain of f(x) = sqrt(x^2 - 4) and determine the intervals on which f is continuous.",CALCULUS,continuity,en,synthetic,cont_domain_sqrt_01,pending
calc_0094,"Explain why g(x) = 1/(x - 2) is continuous at every point of its domain, and why no value can be assigned at x = 2 to make g continuous there.",CALCULUS,continuity,en,synthetic,cont_reciprocal_no_extension_01,pending
